Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
C431720000024,Ausente,0,0.1
C431720000030,Ausente,0,0.3
C431720000028,Presente,0,0.1
S431720000001,Ausente,0,0.4
C431790000027,Presente,0,0.2
C431790000030,Ausente,0,0.5
C431790000010,Ausente,0,0.1
C431790000006,Ausente,0,0.4
C431790000019,Ausente,0,0.1
S431790000001,Ausente,1.52,0.1
I431790000023,Presente,0,0.2
C431790000011,Ausente,0,0.1
C431790000016,Ausente,0,0.1
S431790000001,Ausente,1.05,0.4
C432180000026,Ausente,0,0.2
C432180000018,Ausente,0,0.1
S430220000001,Ausente,1.02,0.2
S430220000001,Ausente,0.28,0.1
C430220000003,Ausente,0,0.3
C430220000031,Ausente,0,0.1
S430220000001,Ausente,1.01,0.2
S430220000001,Ausente,0.35,0.4
C430220000002,Presente,0,0.1
S430220000001,Ausente,0.87,0.6
C430900000053,Ausente,0,0.7
C430900000006,Ausente,0,0.3
C430220000004,Presente,0,0.6
C430220000010,Ausente,0,0.1
S430220000001,Ausente,0.81,0.2
S430220000001,Ausente,0.93,0.3
C430900000064,Presente,0,0.7
C430900000046,Ausente,0,0.3
C430900000063,Ausente,0,0.3
C430900000045,Presente,0,0.9
C430900000028,Ausente,0,0.2
C430900000034,Ausente,0.45,0.9
C430900000017,Presente,0,0.7
C430900000012,Ausente,0,0.2
C430900000036,Presente,0,0.1
S430900000001,Ausente,0.95,0.3
C430900000061,Ausente,0,0.5
C430900000054,Ausente,0.71,0.2
C430900000010,Ausente,1.5,0.2
C430900000075,Presente,0.36,0.7
C430900000059,Presente,0,0.2
C430900000004,Presente,0,0.2
S430900000001,Ausente,1.01,0.2
C431720000014,Ausente,0,0.6
S431720000001,Ausente,0.92,0.1
S431720000001,Ausente,0.9,0.2
S431720000001,Ausente,0.93,0.4
S431720000001,Ausente,0.76,0.4
S431720000001,Ausente,1.19,0.1
S431720000001,Ausente,0.76,0.4
S431720000001,Ausente,0,0.2
S431720000001,Ausente,0.76,0.2
C430045000020,Ausente,0,0.2
C430045000006,Ausente,0,0.2
C430045000009,Ausente,0,0.6
C430045000012,Ausente,0,0.5
C430045000008,Ausente,0,0.8
C430045000013,Ausente,0,0.3
S430900000001,Ausente,0.92,0.2
C430900000042,Ausente,0,0.2
C430900000023,Ausente,0.8,0.1
S430900000001,Ausente,1.22,0.1
S430900000001,Ausente,1.25,0.1
S430900000001,Ausente,0.94,0.1
S430900000001,Ausente,0.98,0.7
S430900000001,Ausente,0.99,0.1
C430900000051,Ausente,0,0.3
C430900000033,Presente,0,0.3
C432032000001,Ausente,0,0.1
C432032000004,Ausente,0,0.1
C432230000009,Ausente,0,0.4
C432230000029,Presente,0,0.3
C432032000006,Ausente,0,0.6
C432032000005,Ausente,0,0.4
C432032000012,Ausente,0,0.1
C432032000007,Ausente,0,0.2
C432230000014,Ausente,0,0.1
C432230000002,Ausente,0,0.4
C432230000012,Ausente,0,0.2
C432230000015,Presente,0,0.7
C431500000044,Ausente,0,0.4
C432032000015,Ausente,0,0.2
C432230000016,Ausente,0,0.2
C432230000019,Ausente,0,0.1
C432230000013,Ausente,0,0.9
C432230000026,Ausente,0,0.2
C432230000023,Ausente,0,0.2
C431500000005,Ausente,0,0.2
C432230000001,Ausente,0,0.2
C432230000027,Ausente,0,0.1
C432230000022,Ausente,0,0.3
C431500000034,Ausente,0,0.7
C431500000035,Presente,0,0.8
C432230000011,Ausente,0,0.1
C431500000006,Ausente,0,0.3
C431500000008,Presente,0,0.2
C431500000031,Ausente,0,0.2
C431500000002,Ausente,0,0.5
C431500000019,Ausente,0,0.2
C431500000007,Ausente,0,0.2
S432180000001,Ausente,2.05,0.2
S432180000001,Ausente,1.04,0.2
S432180000001,Ausente,0.85,0.4
S432180000001,Ausente,0.82,0.1
S432180000001,Ausente,2.2,0.1
S432180000001,Ausente,2.33,0.6
S430370000001,Ausente,0,0.7
S430370000001,Ausente,0,0.2
I430370000033,Presente,0,12.7
S430370000001,Ausente,0.5,0.2
C430370000007,Ausente,0,0.4
S430030000001,Ausente,0.74,0.9
S430030000001,Ausente,1.1,0.3
C430030000018,Ausente,0,0.2
S430030000001,Ausente,0.53,0.3
C430030000032,Ausente,0,0.6
C430030000003,Presente,0,6.7
C430030000017,Presente,0,0.4
C430030000016,Presente,0,0.6
C430030000028,Presente,0,0.2
C430220000005,Ausente,0,0.6
S430220000001,Ausente,0.79,0.4
C430220000006,Ausente,0,0.5
S430220000001,Ausente,0.68,0.2
S430370000001,Ausente,1.07,0.3
I430370000014,Ausente,0,0.1
C432180000041,Presente,0,0.3
C432180000028,Ausente,0,0.3
C430370000002,Ausente,0,0.2
